	coll_lecture	sentence	reflection	sentiment
2039	2	Nachdem ich jedoch klargestellt hatte, dass die Socken zusammenpassen müssen, wurde schnell klar, dass hinter diesem Problem mehr steckte, als ich zunächst dachte.	1	2
504	2	So kann ich nicht nur die SchülerInnen unterrichten, sondern ich nutze IKT auch in meinem Privatleben, z. B. um einen Blog zu führen.	0	3
971	2	Nach und nach fanden sie mehr Gelegenheiten zum Singen, und obwohl das Grübeln in ihrem Hinterkopf, das ihnen sagte, dass sie nicht gut genug seien, immer weniger wurde, blieb es immer bestehen.	0	2
2138	2	Am Ende des Tages ging ich nach Hause, um Pollard et al. (2008, Kapitel 10) darüber zu lesen, wie Lehrer einen Lehrplan umsetzen sollten, und stellte fest, dass Teamarbeit und Schulleitungssitzungen, wie die, an der ich heute teilnahm, der Schlüssel dazu sind, dass ein Lehrplan auf hohem Niveau umgesetzt wird.	0	3
46	1	Exploitation fühlt sich gut an und es fühlt sich wie ein Fortschritt an, aber nur bei der Exploration lernt man wirklich.	1	3
502	2	"damit ich die Schüler für das Malen von ""Splosh"" begeistern kann, zum Beispiel."	0	3
2914	2	Zufrieden macht er sich auf den Weg nach Hause, wo er auf mehrere hilfsbedürftige Menschen trifft.	0	3
824	2	Mir wurde klar, dass Lehrerinnen und Lehrer recherchieren müssen, bevor sie ein Thema behandeln, damit sie wissen, dass das, was sie unterrichten, richtig ist, und das hatte ich vorher nie wirklich bedacht.	1	3
2303	2	Trotz der vielen positiven Aspekte ist die Forschungstätigkeit nicht ohne Herausforderungen.	1	3
2179	2	Das mache ich sehr gerne, weil man sich mit den Kindern kurz über ihr Buch unterhalten und sie so ein bisschen besser kennen lernen kann.	1	4
3554	2	Muster sind ein Bereich der Mathematik, der sich für alle Arten von lustigen und fesselnden Aktivitäten eignet, besonders in den ersten Jahren.	0	3
583	2	Wer hätte gedacht, dass man mit Marmelade so viel lernen kann?	0	3
1324	2	Warum haben wir so viel Angst vor dem Unbekannten?	1	3
1575	2	Dies brachte mich zum Nachdenken über die Verantwortung von Schulen und Lehrern in Bezug auf die Gesundheit und das Wohlbefinden von Kleinkindern.	1	3
2875	2	Das ist weit entfernt von den Einzelschreibtischen und dem einsamen Lernen der Vergangenheit.	0	2
