	coll_lecture	sentence	reflection	sentiment
2039	2	Nachdem jedoch geklärt war, dass die Socken zusammenpassen müssen, wurde schnell klar, dass hinter diesem Problem mehr steckt, als ich zunächst dachte. 	1	2
504	2	so kann ich die Schüler nicht nur unterrichten, sondern ich nutze IKT auch in meinem Privatleben, z. B. um einen Blog zu führen.	0	3
971	2	Allmählich fanden sie mehr Gelegenheiten zum Singen, und obwohl das Grübeln in ihrem Hinterkopf, das ihnen sagte, sie seien nicht gut genug, kleiner wurde, blieb es immer bestehen.	0	2
2138	2	Am Ende des Tages ging ich nach Hause, um Pollard et al. (2008, Kapitel 10) darüber zu lesen, wie Lehrer einen Lehrplan umsetzen sollten, und stellte fest, dass Teamarbeit und Besprechungen der Schulleitung, wie die, an denen ich heute teilgenommen habe, der Schlüssel sind, um sicherzustellen, dass ein Lehrplan auf hohem Niveau umgesetzt wird.	0	3
46	1	Exploitation fühlt sich gut an und es fühlt sich nach Fortschritt an, aber nur in der Exploration lernt man wirklich. 	1	3
502	2	"so kann ich die Schüler z. B. für das Malen von ""Splosh"" begeistern."	0	3
2914	2	Zufrieden macht er sich auf den Heimweg, wo er auf verschiedene hilfsbedürftige Personen trifft.	0	3
824	2	Mir wurde klar, dass Lehrer vor der Behandlung von Themen recherchieren müssen, damit sie wissen, dass das, was sie unterrichten, richtig ist, und das hatte ich vorher nie wirklich bedacht.	1	3
2303	2	Trotz der vielen positiven Aspekte ist das forschende Arbeiten nicht ohne Herausforderungen.	1	3
2179	2	Das mache ich sehr gerne, weil man sich mit den Kindern kurz über ihr Buch unterhalten kann und sie so ein bisschen besser kennenlernt.	1	4
3554	2	Muster sind ein Bereich der Mathematik, der sich für alle Arten von lustigen und fesselnden Aktivitäten eignet, besonders in den frühen Jahren.	0	3
583	2	Wer hätte gedacht, dass man mit Marmelade so viel lernen kann?	0	3
1324	2	Warum können wir so viel Angst vor dem Unbekannten haben?	1	3
